"",True
"1",True
"2,1,3",True
"2,3,1",False
"5,1,4,None,None,3,6",False
"5,1,7,None,None,6,8",True
"1,1,2",False
"3,2,4,1,None,None,5",True
"10,5,15,None,None,6,20",False
"10,5,15,None,None,11,20",True
"8,3,10,1,6,None,14,None,None,4,7,13",True
"4,2,5,1,3,4,6",False
"7,3,9,2,5,8,10",True
"7,3,9,2,8,8,10",False
"50,30,70,20,40,60,80",True
"50,30,70,20,40,55,80",True
"50,30,70,20,40,45,80",False
"10,5,15,2,7,12,20",True
"10,5,15,2,11,12,20",False
"10,5,15,2,7,12,20,None,None,13,25",False
